Simulation Results from reaction file: /Users/blink/Documents/Teaching/ Coursework_2025-2026/Chem_3530_2026/Kinetiscope/MM1.rxn
The simulation was run on Saturday, 7 February 2026 13:10:43 AST
This table was created on Saturday, 7 February 2026 13:21:15 AST
--------------------------------------

           Data           Time              E             ES              P              S              
          Point            sec     mole/liter     mole/liter     mole/liter     mole/liter              
              
             70      7.6406798    1.00001e-07    9.00009e-07   0.0069063091    0.093092791              
             71      7.7519171    8.00008e-08   9.200092e-07   0.0070062601     0.09299282              
             72      7.8631339   1.200012e-07   8.800088e-07    0.007104621    0.092894499              
             73      7.9740698    8.00008e-08   9.200092e-07   0.0072051021    0.092793978              
             74       8.085193    8.00008e-08   9.200092e-07    0.007304763    0.092694317              
             75      8.1964068    6.00006e-08   9.400094e-07   0.0074053241    0.092593736              
             76      8.3075048   1.200012e-07   8.800088e-07    0.007503685    0.092495435              
             77       8.418673   1.200012e-07   8.800088e-07    0.007604136    0.092394984              
             78      8.5299671   1.200012e-07   8.800088e-07   0.0077053971    0.092293723              
             79      8.6415014   1.200012e-07   8.800088e-07   0.0078064581    0.092192662              
             80      8.7527316   1.200012e-07   8.800088e-07   0.0079064691    0.092092651              
             81      8.8639674    8.00008e-08   9.200092e-07   0.0080084401     0.09199064              
             82      8.9754099    8.00008e-08   9.200092e-07   0.0081076411    0.091891439              
             83      9.0868452    1.00001e-07    9.00009e-07   0.0082072521    0.091791848              
             84       9.198275   1.600016e-07   8.400084e-07   0.0083084731    0.091690687              
             85      9.3096803    1.00001e-07    9.00009e-07   0.0084086241    0.091590476              
             86      9.4210324   1.200012e-07   8.800088e-07   0.0085072151    0.091491905              
             87      9.5323592   1.200012e-07   8.800088e-07   0.0086066961    0.091392424              
             88      9.6437776    6.00006e-08   9.400094e-07   0.0087084771    0.091290583              
             89      9.7551132   1.200012e-07   8.800088e-07   0.0088080981    0.091191022              
             90      9.8664571   1.200012e-07   8.800088e-07   0.0089091291    0.091089991              
             91      9.9777111    8.00008e-08   9.200092e-07   0.0090096401     0.09098944              
             92      10.089139    1.00001e-07    9.00009e-07   0.0091124511    0.090886649              
             93      10.200215   1.200012e-07   8.800088e-07   0.0092123121    0.090786808              
             94      10.311754    1.00001e-07    9.00009e-07   0.0093133731    0.090685727              
             95      10.423177    1.00001e-07    9.00009e-07   0.0094127841    0.090586316              
             96       10.53457    8.00008e-08   9.200092e-07   0.0095126351    0.090486445              
             97      10.645916    1.00001e-07    9.00009e-07   0.0096133661    0.090385734              
             98      10.757211   1.400014e-07   8.600086e-07   0.0097127271    0.090286413              
             99      10.868778    8.00008e-08   9.200092e-07   0.0098140181    0.090185062              
            100      10.980145    1.00001e-07    9.00009e-07   0.0099142891    0.090084811              
            101      11.091556    1.00001e-07    9.00009e-07     0.01001357     0.08998553              
            102        11.2032    1.00001e-07    9.00009e-07    0.010114981    0.089884119              
            103      11.314932   1.400014e-07   8.600086e-07    0.010214992    0.089784148              
            104      11.426374    8.00008e-08   9.200092e-07    0.010315563    0.089683517              
            105      11.537957    8.00008e-08   9.200092e-07    0.010417114    0.089581966              
            106      11.649447    8.00008e-08   9.200092e-07    0.010520885    0.089478195              
            107      11.760843    6.00006e-08   9.400094e-07    0.010619726    0.089379334              
            108      11.872561    1.00001e-07    9.00009e-07    0.010719297    0.089279803              
            109      11.984291   1.600016e-07   8.400084e-07    0.010819468    0.089179692              
            110      12.096007   1.200012e-07   8.800088e-07    0.010923209    0.089075911              
            111      12.207621   1.400014e-07   8.600086e-07     0.01102321     0.08897593              
            112      12.319318   1.600016e-07   8.400084e-07    0.011123841    0.088875319              
            113      12.431114   1.400014e-07   8.600086e-07    0.011224392    0.088774748              
            114      12.542805    4.00004e-08   9.600096e-07    0.011324613    0.088674427              
            115      12.654525    1.00001e-07    9.00009e-07    0.011425814    0.088573286              
            116      12.766203    6.00006e-08   9.400094e-07    0.011525865    0.088473195              
            117      12.877922    8.00008e-08   9.200092e-07    0.011624106    0.088374974              
            118      12.989546   1.200012e-07   8.800088e-07    0.011725177    0.088273943              
            119      13.101184   1.200012e-07   8.800088e-07    0.011825618    0.088173502              
            120      13.212943   1.400014e-07   8.600086e-07    0.011924939    0.088074201              
            121       13.32451    1.00001e-07    9.00009e-07      0.0120257      0.0879734              
            122      13.436113   1.400014e-07   8.600086e-07    0.012125361    0.087873779              
            123      13.547829   1.400014e-07   8.600086e-07    0.012225202    0.087773938              
            124      13.659616    6.00006e-08   9.400094e-07    0.012326673    0.087672387              
            125      13.771425    1.00001e-07    9.00009e-07    0.012427414    0.087571686              
            126      13.883159   1.200012e-07   8.800088e-07    0.012527045    0.087472075              
            127      13.995086   1.400014e-07   8.600086e-07    0.012625646    0.087373494              
            128       14.10693    6.00006e-08   9.400094e-07    0.012725137    0.087273923              
            129      14.218703    8.00008e-08   9.200092e-07    0.012824658    0.087174422              
            130      14.330775   1.600016e-07   8.400084e-07    0.012924929    0.087074231              
            131      14.442606    1.00001e-07    9.00009e-07     0.01302538     0.08697372              
            132      14.554479    1.00001e-07    9.00009e-07    0.013126421    0.086872679              
            133      14.666458    1.00001e-07    9.00009e-07    0.013225822    0.086773278              
            134      14.778206    8.00008e-08   9.200092e-07    0.013326353    0.086672727              
            135      14.889897    1.00001e-07    9.00009e-07    0.013426354    0.086572746              
            136      15.001805   1.200012e-07   8.800088e-07    0.013526785    0.086472335              
            137      15.113853   1.600016e-07   8.400084e-07    0.013631386    0.086367774              
            138       15.22588    8.00008e-08   9.200092e-07    0.013730707    0.086268373              
            139       15.33782    8.00008e-08   9.200092e-07    0.013832838    0.086166242              
            140      15.449732   1.400014e-07   8.600086e-07    0.013933309    0.086065831              
            141      15.561857   1.400014e-07   8.600086e-07      0.0140322     0.08596694              
            142      15.673786   1.200012e-07   8.800088e-07    0.014133261    0.085865859              
            143      15.785804   1.400014e-07   8.600086e-07    0.014233922    0.085765218              
            144      15.897907    8.00008e-08   9.200092e-07    0.014335723    0.085663357              
            145      16.009967    6.00006e-08   9.400094e-07    0.014436544    0.085562516              
            146      16.122131    1.00001e-07    9.00009e-07    0.014536015    0.085463085              
            147      16.234217   1.400014e-07   8.600086e-07    0.014636206    0.085362934              
            148      16.346538   1.600016e-07   8.400084e-07    0.014734477    0.085264683              
            149      16.458838    8.00008e-08   9.200092e-07    0.014833718    0.085165362              
            150      16.570942    1.00001e-07    9.00009e-07    0.014934729    0.085064371              
            151      16.683151    1.00001e-07    9.00009e-07     0.01503559     0.08496351              
            152       16.79534   1.200012e-07   8.800088e-07    0.015134851    0.084864269              
            153      16.907352    8.00008e-08   9.200092e-07    0.015236222    0.084762858              
            154       17.01945   1.400014e-07   8.600086e-07    0.015336613    0.084662527              
            155      17.131643   1.400014e-07   8.600086e-07    0.015435544    0.084563596              
            156      17.243724   1.400014e-07   8.600086e-07    0.015535505    0.084463635              
            157      17.356077    1.00001e-07    9.00009e-07    0.015636836    0.084362264              
            158      17.468499   1.200012e-07   8.800088e-07    0.015738027    0.084261093              
            159      17.580713    1.00001e-07    9.00009e-07    0.015837538    0.084161562              
            160       17.69299    8.00008e-08   9.200092e-07    0.015937149    0.084061931              
            161      17.805297    4.00004e-08   9.600096e-07     0.01603819     0.08396085              
            162      17.917684   1.600016e-07   8.400084e-07    0.016137751    0.083861409              
            163      18.030027   1.200012e-07   8.800088e-07    0.016238082    0.083761038              
            164      18.142286   1.400014e-07   8.600086e-07    0.016338723    0.083660417              
            165      18.254417    8.00008e-08   9.200092e-07    0.016438314    0.083560766              
            166      18.366782   1.200012e-07   8.800088e-07    0.016539595    0.083459525              
            167      18.479156    1.00001e-07    9.00009e-07    0.016638986    0.083360114              
