Simulation Results from reaction file: /Users/blink/Documents/Teaching/ Coursework_2025-2026/Chem_3530_2026/Kinetiscope/MM1.rxn
The simulation was run on Saturday, 7 February 2026 15:22:14 AST
This table was created on Saturday, 7 February 2026 15:22:32 AST
--------------------------------------

           Data           Time              E             ES              P              S              
          Point            sec     mole/liter     mole/liter     mole/liter     mole/liter              
              
             81      9.8514606    1.00001e-06              0   0.0089710897     0.09102891              
             82      9.9748357    1.00001e-06              0   0.0090750908    0.090924909              
             83      10.094843    1.00001e-06              0    0.009196092    0.090803908              
             84      10.218466    1.00001e-06              0    0.009305093    0.090694907              
             85      10.343788    1.00001e-06              0   0.0094410944    0.090558906              
             86      10.467734    1.00001e-06              0   0.0095390954    0.090460905              
             87      10.592342    1.00001e-06              0   0.0096460965    0.090353904              
             88      10.716323    1.00001e-06              0   0.0097320973    0.090267903              
             89      10.841519    1.00001e-06              0   0.0098440984    0.090155902              
             90      10.965571    1.00001e-06              0   0.0099630996      0.0900369              
             91      11.088073    1.00001e-06              0    0.010078101    0.089921899              
             92      11.211094    1.00001e-06              0    0.010186102    0.089813898              
             93      11.334602    1.00001e-06              0    0.010308103    0.089691897              
             94       11.46038    1.00001e-06              0    0.010421104    0.089578896              
             95      11.585629    1.00001e-06              0    0.010528105    0.089471895              
             96      11.708378    1.00001e-06              0    0.010643106    0.089356894              
             97      11.833725    1.00001e-06              0    0.010740107    0.089259893              
             98      11.957895    1.00001e-06              0    0.010829108    0.089170892              
             99      12.082766    1.00001e-06              0    0.010935109    0.089064891              
            100      12.207838    1.00001e-06              0    0.011051111    0.088948889              
            101      12.332324    1.00001e-06              0    0.011147111    0.088852889              
            102        12.4564    1.00001e-06              0    0.011246112    0.088753888              
            103      12.581815    1.00001e-06              0    0.011345113    0.088654887              
            104      12.706184    1.00001e-06              0    0.011450115    0.088549885              
            105      12.830119    1.00001e-06              0    0.011556116    0.088443884              
            106       12.95363    1.00001e-06              0    0.011678117    0.088321883              
            107      13.077165    1.00001e-06              0    0.011778118    0.088221882              
            108      13.199739    1.00001e-06              0    0.011904119    0.088095881              
            109      13.322977    1.00001e-06              0     0.01201112     0.08798888              
            110      13.448042    1.00001e-06              0    0.012140121    0.087859879              
            111      13.570797    1.00001e-06              0    0.012244122    0.087755878              
            112      13.693801    1.00001e-06              0    0.012343123    0.087656877              
            113      13.817772    1.00001e-06              0    0.012451125    0.087548875              
            114       13.94328    1.00001e-06              0    0.012569126    0.087430874              
            115      14.067291    1.00001e-06              0    0.012666127    0.087333873              
            116      14.193408    1.00001e-06              0    0.012779128    0.087220872              
            117      14.318777    1.00001e-06              0    0.012878129    0.087121871              
            118      14.444173    1.00001e-06              0     0.01297913     0.08702087              
            119      14.569177    1.00001e-06              0    0.013068131    0.086931869              
            120      14.694219    1.00001e-06              0    0.013174132    0.086825868              
            121      14.820086    1.00001e-06              0    0.013261133    0.086738867              
            122      14.946289    1.00001e-06              0    0.013386134    0.086613866              
            123      15.071652    1.00001e-06              0    0.013498135    0.086501865              
            124       15.19566    1.00001e-06              0    0.013599136    0.086400864              
            125       15.31911    1.00001e-06              0    0.013715137    0.086284863              
            126      15.444677    1.00001e-06              0    0.013825138    0.086174862              
            127      15.569454    1.00001e-06              0    0.013924139    0.086075861              
            128      15.693937    1.00001e-06              0     0.01403414     0.08596586              
            129      15.818923    1.00001e-06              0    0.014139141    0.085860859              
            130      15.941516    1.00001e-06              0    0.014253143    0.085746857              
            131      16.065307    1.00001e-06              0    0.014359144    0.085640856              
            132      16.189002    1.00001e-06              0    0.014465145    0.085534855              
            133      16.312745    1.00001e-06              0    0.014568146    0.085431854              
            134      16.436487    1.00001e-06              0    0.014654147    0.085345853              
            135      16.561002    1.00001e-06              0    0.014785148    0.085214852              
            136      16.685792    1.00001e-06              0    0.014885149    0.085114851              
            137      16.810473    1.00001e-06              0     0.01499515     0.08500485              
            138      16.937522    1.00001e-06              0    0.015102151    0.084897849              
            139      17.062769    1.00001e-06              0    0.015215152    0.084784848              
            140      17.187767    1.00001e-06              0    0.015337153    0.084662847              
            141      17.312168    1.00001e-06              0    0.015454155    0.084545845              
            142      17.435965    1.00001e-06              0    0.015567156    0.084432844              
            143      17.560818    1.00001e-06              0    0.015683157    0.084316843              
            144      17.685624    1.00001e-06              0    0.015800158    0.084199842              
            145      17.809205    1.00001e-06              0    0.015909159    0.084090841              
            146      17.935015    1.00001e-06              0     0.01602516     0.08397484              
            147      18.059673    1.00001e-06              0    0.016137161    0.083862839              
            148      18.183794    1.00001e-06              0    0.016232162    0.083767838              
            149      18.308965    1.00001e-06              0    0.016341163    0.083658837              
            150      18.434807    1.00001e-06              0    0.016457165    0.083542835              
            151      18.558247    1.00001e-06              0    0.016575166    0.083424834              
            152      18.683174    1.00001e-06              0    0.016706167    0.083293833              
            153      18.807764    1.00001e-06              0    0.016823168    0.083176832              
            154      18.932989    1.00001e-06              0    0.016942169    0.083057831              
            155       19.05768    1.00001e-06              0    0.017052171    0.082947829              
            156      19.183039    1.00001e-06              0    0.017174172    0.082825828              
            157      19.308152    1.00001e-06              0    0.017290173    0.082709827              
            158      19.432502    1.00001e-06              0    0.017417174    0.082582826              
            159      19.557681    1.00001e-06              0    0.017539175    0.082460825              
            160      19.682676    1.00001e-06              0    0.017657177    0.082342823              
            161      19.806351    1.00001e-06              0    0.017768178    0.082231822              
            162      19.932627    1.00001e-06              0    0.017874179    0.082125821              
            163      20.057311    1.00001e-06              0     0.01799018     0.08200982              
            164      20.182548    1.00001e-06              0    0.018099181    0.081900819              
            165      20.307972    1.00001e-06              0    0.018213182    0.081786818              
            166      20.432353    1.00001e-06              0    0.018336183    0.081663817              
            167      20.556236    1.00001e-06              0    0.018435184    0.081564816              
            168      20.683008    1.00001e-06              0    0.018557186    0.081442814              
            169      20.807691    1.00001e-06              0    0.018653187    0.081346813              
            170      20.932568    1.00001e-06              0    0.018769188    0.081230812              
            171      21.057921    1.00001e-06              0    0.018880189    0.081119811              
            172      21.183303    1.00001e-06              0     0.01900019     0.08099981              
            173      21.306813    1.00001e-06              0    0.019112191    0.080887809              
            174      21.434137    1.00001e-06              0    0.019235192    0.080764808              
            175      21.558916    1.00001e-06              0    0.019350194    0.080649806              
            176      21.684812    1.00001e-06              0    0.019466195    0.080533805              
            177      21.809748    1.00001e-06              0    0.019590196    0.080409804              
            178      21.936312    1.00001e-06              0    0.019693197    0.080306803              
            179      22.062139    1.00001e-06              0    0.019797198    0.080202802              
            180      22.187461    1.00001e-06              0    0.019895199    0.080104801              
            181      22.310365    1.00001e-06              0      0.0200052      0.0799948              
            182      22.433561    1.00001e-06              0    0.020117201    0.079882799              
            183      22.560375    1.00001e-06              0    0.020234202    0.079765798              
            184      22.686587    1.00001e-06              0    0.020337203    0.079662797              
            185      22.812977    1.00001e-06              0    0.020444204    0.079555796              
            186      22.939653    1.00001e-06              0    0.020552206    0.079447794              
            187      23.065538    1.00001e-06              0    0.020679207    0.079320793              
            188      23.191517    1.00001e-06              0    0.020777208    0.079222792              
            189       23.31655    1.00001e-06              0    0.020886209    0.079113791              
            190      23.442009    1.00001e-06              0     0.02098921     0.07901079              
            191       23.56763    1.00001e-06              0    0.021099211    0.078900789              
            192      23.693081    1.00001e-06              0    0.021228212    0.078771788              
            193      23.818559    1.00001e-06              0    0.021335213    0.078664787              
            194      23.947658    1.00001e-06              0    0.021443214    0.078556786              
            195      24.074547    1.00001e-06              0    0.021565216    0.078434784              
            196      24.200713    1.00001e-06              0    0.021691217    0.078308783              
            197      24.326609    1.00001e-06              0    0.021789218    0.078210782              
            198      24.453633    1.00001e-06              0    0.021903219    0.078096781              
            199      24.579527    1.00001e-06              0     0.02201522     0.07798478              
            200      24.704833    1.00001e-06              0    0.022130221    0.077869779              
            201      24.831517    1.00001e-06              0    0.022233222    0.077766778              
            202      24.954349    1.00001e-06              0    0.022342223    0.077657777              
            203      25.079671    1.00001e-06              0    0.022446224    0.077553776              
            204      25.206539    1.00001e-06              0    0.022557226    0.077442774              
            205      25.333757    1.00001e-06              0    0.022671227    0.077328773              
            206      25.460241    1.00001e-06              0    0.022776228    0.077223772              
            207      25.585724    1.00001e-06              0    0.022894229    0.077105771              
            208      25.712867    1.00001e-06              0     0.02301323     0.07698677              
            209      25.839967    1.00001e-06              0    0.023121231    0.076878769              
            210      25.966794    1.00001e-06              0    0.023233232    0.076766768              
            211      26.094719    1.00001e-06              0    0.023352234    0.076647766              
            212       26.22071    1.00001e-06              0    0.023459235    0.076540765              
            213      26.345056    1.00001e-06              0    0.023565236    0.076434764              
