Simulation Results from reaction file: /Users/blink/Documents/Teaching/ Coursework_2025-2026/Chem_3530_2026/Kinetiscope/MM1.rxn
The simulation was run on Saturday, 7 February 2026 15:16:09 AST
This table was created on Saturday, 7 February 2026 15:16:24 AST
--------------------------------------

           Data           Time              E             ES              P              S              
          Point            sec     mole/liter     mole/liter     mole/liter     mole/liter              
              
             81       9.863801    1.00001e-06              0   0.0090220902     0.09097791              
             82      9.9874167    1.00001e-06              0   0.0091530915    0.090846908              
             83      10.109938    1.00001e-06              0   0.0092710927    0.090728907              
             84      10.233885    1.00001e-06              0   0.0093870939    0.090612906              
             85      10.357602    1.00001e-06              0    0.009496095    0.090503905              
             86      10.481964    1.00001e-06              0    0.009600096    0.090399904              
             87      10.605648    1.00001e-06              0   0.0097120971    0.090287903              
             88      10.730721    1.00001e-06              0   0.0098340983    0.090165902              
             89       10.85462    1.00001e-06              0   0.0099610996      0.0900389              
             90      10.976755    1.00001e-06              0    0.010099101    0.089900899              
             91      11.099804    1.00001e-06              0    0.010195102    0.089804898              
             92      11.222555    1.00001e-06              0    0.010313103    0.089686897              
             93      11.346843    1.00001e-06              0    0.010424104    0.089575896              
             94      11.470039    1.00001e-06              0    0.010552106    0.089447894              
             95        11.5944    1.00001e-06              0    0.010659107    0.089340893              
             96      11.717476    1.00001e-06              0    0.010777108    0.089222892              
             97      11.842401    1.00001e-06              0    0.010867109    0.089132891              
             98      11.968077    1.00001e-06              0     0.01098011     0.08901989              
             99      12.090505    1.00001e-06              0    0.011085111    0.088914889              
            100      12.216218    1.00001e-06              0    0.011190112    0.088809888              
            101       12.34056    1.00001e-06              0    0.011318113    0.088681887              
            102      12.463607    1.00001e-06              0    0.011433114    0.088566886              
            103      12.589423    1.00001e-06              0    0.011546115    0.088453885              
            104       12.71212    1.00001e-06              0    0.011657117    0.088342883              
            105      12.837262    1.00001e-06              0    0.011774118    0.088225882              
            106      12.961641    1.00001e-06              0    0.011880119    0.088119881              
            107      13.084797    1.00001e-06              0     0.01198412     0.08801588              
            108      13.208949    1.00001e-06              0    0.012079121    0.087920879              
            109       13.33012    1.00001e-06              0    0.012203122    0.087796878              
            110      13.453991    1.00001e-06              0    0.012305123    0.087694877              
            111      13.580554    1.00001e-06              0    0.012412124    0.087587876              
            112      13.703723    1.00001e-06              0    0.012528125    0.087471875              
            113      13.827506    1.00001e-06              0    0.012622126    0.087377874              
            114      13.951228    1.00001e-06              0    0.012745127    0.087254873              
            115      14.074726    1.00001e-06              0    0.012877129    0.087122871              
            116      14.200344    1.00001e-06              0     0.01298313     0.08701687              
            117      14.325666    1.00001e-06              0    0.013096131    0.086903869              
            118      14.452263    1.00001e-06              0    0.013225132    0.086774868              
            119      14.576271    1.00001e-06              0    0.013331133    0.086668867              
            120      14.702805    1.00001e-06              0    0.013444134    0.086555866              
            121      14.827994    1.00001e-06              0    0.013551136    0.086448864              
            122      14.951381    1.00001e-06              0    0.013660137    0.086339863              
            123      15.075634    1.00001e-06              0    0.013765138    0.086234862              
            124      15.200603    1.00001e-06              0    0.013883139    0.086116861              
            125      15.325018    1.00001e-06              0     0.01398414     0.08601586              
            126      15.448443    1.00001e-06              0    0.014096141    0.085903859              
            127      15.572974    1.00001e-06              0    0.014199142    0.085800858              
            128       15.69632    1.00001e-06              0    0.014304143    0.085695857              
            129      15.820753    1.00001e-06              0    0.014443144    0.085556856              
            130      15.945411    1.00001e-06              0    0.014549145    0.085450855              
            131       16.06905    1.00001e-06              0    0.014661147    0.085338853              
            132      16.192966    1.00001e-06              0    0.014789148    0.085210852              
            133      16.315232    1.00001e-06              0    0.014884149    0.085115851              
            134      16.441469    1.00001e-06              0     0.01500515     0.08499485              
            135      16.566243    1.00001e-06              0    0.015119151    0.084880849              
            136      16.691494    1.00001e-06              0    0.015229152    0.084770848              
            137      16.816828    1.00001e-06              0    0.015321153    0.084678847              
            138      16.943044    1.00001e-06              0    0.015451155    0.084548845              
            139      17.066597    1.00001e-06              0    0.015552156    0.084447844              
            140      17.190978    1.00001e-06              0    0.015674157    0.084325843              
            141      17.315963    1.00001e-06              0    0.015757158    0.084242842              
            142      17.441461    1.00001e-06              0    0.015872159    0.084127841              
            143      17.565948    1.00001e-06              0     0.01597016     0.08402984              
            144      17.691171    1.00001e-06              0    0.016092161    0.083907839              
            145      17.815609    1.00001e-06              0    0.016197162    0.083802838              
            146       17.94046    1.00001e-06              0    0.016318163    0.083681837              
            147      18.065885    1.00001e-06              0    0.016423164    0.083576836              
            148      18.191933    1.00001e-06              0    0.016535165    0.083464835              
            149      18.317071    1.00001e-06              0    0.016649166    0.083350833              
            150      18.440953    1.00001e-06              0    0.016759168    0.083240832              
            151      18.562861    1.00001e-06              0    0.016874169    0.083125831              
            152      18.688232    1.00001e-06              0     0.01697917     0.08302083              
            153      18.814311    1.00001e-06              0    0.017100171    0.082899829              
            154      18.937936    1.00001e-06              0    0.017216172    0.082783828              
            155      19.064225    1.00001e-06              0    0.017338173    0.082661827              
            156      19.188388    1.00001e-06              0    0.017435174    0.082564826              
            157      19.312224    1.00001e-06              0    0.017544175    0.082455825              
            158      19.437714    1.00001e-06              0    0.017653177    0.082346823              
            159       19.56249    1.00001e-06              0    0.017757178    0.082242822              
            160      19.688751    1.00001e-06              0    0.017894179    0.082105821              
            161      19.812771    1.00001e-06              0     0.01800018     0.08199982              
            162       19.93733    1.00001e-06              0    0.018102181    0.081897819              
            163      20.061934    1.00001e-06              0    0.018209182    0.081790818              
            164      20.188254    1.00001e-06              0    0.018315183    0.081684817              
            165      20.314676    1.00001e-06              0    0.018406184    0.081593816              
            166      20.440885    1.00001e-06              0    0.018520185    0.081479815              
            167      20.565399    1.00001e-06              0    0.018641186    0.081358814              
            168      20.690494    1.00001e-06              0    0.018750188    0.081249812              
            169      20.815429    1.00001e-06              0    0.018853189    0.081146811              
            170      20.940819    1.00001e-06              0     0.01895819     0.08104181              
            171      21.066018    1.00001e-06              0     0.01904719     0.08095281              
            172      21.190762    1.00001e-06              0    0.019170192    0.080829808              
            173      21.315635    1.00001e-06              0    0.019269193    0.080730807              
            174      21.441819    1.00001e-06              0    0.019375194    0.080624806              
            175      21.566667    1.00001e-06              0    0.019497195    0.080502805              
            176      21.690848    1.00001e-06              0    0.019617196    0.080382804              
            177      21.816635    1.00001e-06              0    0.019719197    0.080280803              
            178      21.943517    1.00001e-06              0    0.019832198    0.080167802              
            179      22.068084    1.00001e-06              0      0.0199532      0.0800468              
            180      22.192867    1.00001e-06              0    0.020093201    0.079906799              
            181       22.31745    1.00001e-06              0    0.020211202    0.079788798              
            182      22.443176    1.00001e-06              0    0.020339203    0.079660797              
            183      22.569039    1.00001e-06              0    0.020448204    0.079551796              
            184      22.695612    1.00001e-06              0    0.020553206    0.079446794              
            185      22.821363    1.00001e-06              0    0.020674207    0.079325793              
            186      22.946125    1.00001e-06              0    0.020788208    0.079211792              
            187      23.070901    1.00001e-06              0    0.020902209    0.079097791              
            188      23.195247    1.00001e-06              0     0.02101721     0.07898279              
            189      23.323197    1.00001e-06              0    0.021129211    0.078870789              
            190      23.448042    1.00001e-06              0    0.021247212    0.078752788              
            191      23.573493    1.00001e-06              0    0.021362214    0.078637786              
            192      23.699437    1.00001e-06              0    0.021477215    0.078522785              
            193      23.823732    1.00001e-06              0    0.021595216    0.078404784              
            194      23.949229    1.00001e-06              0    0.021708217    0.078291783              
            195      24.074728    1.00001e-06              0    0.021813218    0.078186782              
            196      24.200523    1.00001e-06              0    0.021927219    0.078072781              
            197      24.324876    1.00001e-06              0     0.02204022     0.07795978              
            198      24.450242    1.00001e-06              0    0.022160222    0.077839778              
            199      24.575994    1.00001e-06              0    0.022285223    0.077714777              
            200      24.700256    1.00001e-06              0    0.022385224    0.077614776              
            201      24.826264    1.00001e-06              0    0.022502225    0.077497775              
            202      24.951282    1.00001e-06              0    0.022613226    0.077386774              
            203      25.078114    1.00001e-06              0    0.022728227    0.077271773              
            204      25.202755    1.00001e-06              0    0.022825228    0.077174772              
            205      25.330656    1.00001e-06              0     0.02295723     0.07704277              
            206      25.455619    1.00001e-06              0    0.023053231    0.076946769              
            207      25.582057    1.00001e-06              0    0.023168232    0.076831768              
            208      25.708905    1.00001e-06              0    0.023269233    0.076730767              
            209       25.83623    1.00001e-06              0    0.023396234    0.076603766              
            210      25.961826    1.00001e-06              0    0.023504235    0.076495765              
            211       26.08865    1.00001e-06              0    0.023617236    0.076382764              
            212      26.214895    1.00001e-06              0    0.023722237    0.076277763              
            213       26.34333    1.00001e-06              0    0.023838238    0.076161762              
            214      26.469371    1.00001e-06              0     0.02395124     0.07604876              
            215      26.596925    1.00001e-06              0    0.024054241    0.075945759              
            216      26.722944    1.00001e-06              0    0.024160242    0.075839758              
            217      26.849353    1.00001e-06              0    0.024276243    0.075723757              
            218      26.975576    1.00001e-06              0    0.024360244    0.075639756              
            219      27.102764    1.00001e-06              0    0.024457245    0.075542755              
            220      27.227766    1.00001e-06              0    0.024588246    0.075411754              
            221      27.355711    1.00001e-06              0    0.024702247    0.075297753              
            222      27.480898    1.00001e-06              0    0.024817248    0.075182752              
            223      27.609156    1.00001e-06              0    0.024920249    0.075079751              
            224      27.735249    1.00001e-06              0     0.02502225     0.07497775              
            225       27.86174    1.00001e-06              0    0.025131251    0.074868749              
            226      27.988628    1.00001e-06              0    0.025249252    0.074750748              
            227      28.114006    1.00001e-06              0    0.025357254    0.074642746              
            228      28.238679    1.00001e-06              0    0.025474255    0.074525745              
            229       28.36437    1.00001e-06              0    0.025579256    0.074420744              
            230      28.490774    1.00001e-06              0    0.025705257    0.074294743              
            231      28.619044    1.00001e-06              0    0.025826258    0.074173742              
            232      28.746177    1.00001e-06              0    0.025947259    0.074052741              
            233      28.872241    1.00001e-06              0    0.026068261    0.073931739              
            234      28.999337    1.00001e-06              0    0.026182262    0.073817738              
            235      29.126169    1.00001e-06              0    0.026282263    0.073717737              
            236      29.253049    1.00001e-06              0    0.026393264    0.073606736              
            237      29.377853    1.00001e-06              0    0.026496265    0.073503735              
            238      29.504291    1.00001e-06              0    0.026610266    0.073389734              
            239       29.63216    1.00001e-06              0    0.026711267    0.073288733              
            240      29.758283    1.00001e-06              0    0.026836268    0.073163732              
            241      29.883789    1.00001e-06              0    0.026937269    0.073062731              
            242      30.011491    1.00001e-06              0    0.027059271    0.072940729              
